"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;"SEO title";"SEO descr";"SEO keywords";"FB title";"FB descr"
646924718622;;SH-0104;;;"Набор Шампуров №10 (для ресторанов и кафе) - 8 шт";;;;6400.00;;;"Ширина лезвия:;Количество шампуров:8 шт";;NFSiUulOgznpph93RNo3;951935501472;900;810;85;40;;;;;
165663994522;;SH-0105;;;"Набор Шампуров №10 (для ресторанов и кафе) - 9 шт";;;;7200.00;;;"Ширина лезвия:;Количество шампуров:9 шт";;vrdSnxXzrF1zmtKAABJt;951935501472;1000;810;85;40;;;;;
105592007282;;SH-0106;;;"Набор Шампуров №10 (для ресторанов и кафе) - 10 шт";;;;8000.00;;;"Ширина лезвия:;Количество шампуров:10 шт";;Nd85CEVhuEZ5S0kMa84V;951935501472;1100;810;85;40;;;;;
971219715992;;SH-0107;;;"Набор Шампуров №10 (для ресторанов и кафе) - 11 шт";;;;8800.00;;;"Ширина лезвия:;Количество шампуров:11 шт";;ps3X1fzhDreTbDKkZ0Vj;951935501472;1200;810;85;40;;;;;
698150936462;"Mangal Craft";;;Шампуры;"Набор Шампуров №11 (для Тандыра с крючками)";"Заказ от 6 шт<br />Aisi 304 нержавейка";"<strong style=""color: rgb(255, 121, 0);"">Для люля-кебаба и шашлыка </strong><br /><br />-наружная прорезь волнистая<br />-внутренняя прорезь волнистая<br />-люля-кебаб отлично держится на шампуре<br /><br />Общая длина 50 см<br />Рабочая поверхность 40 см<br />Ширина 21 мм<br />Толщина от 2 мм до 3 мм<br />Ручка греется не значительно<br /><br /><strong>Возможно изготовление этой модели шампуров под Ваши размеры</strong>";https://static.tildacdn.com/stor6530-3762-4532-b533-336162386566/bf92f7ee1f3268122c8f6535a2f53a88.png;;;;;"Чехол:Не нужен;Чехол-сумка для шампуров 800 руб.=+800";7T55R0X7Xl7dTvvBLPvM;;0;0;0;0;"Набор Шампуров №1 (классический)";"Для люля-кебаба и шашлыка. Люля-кебаб отлично держится на шампуре";"купить шампуры, набор шампуров цена, шампур цена, купить шампура для шашлыка, шампур люля купить";;
874435726382;;SH-0108;;;"Набор Шампуров №11 (для Тандыра с крючками) - 6 шт - Прямая";;;;6000.00;;;"Ширина лезвия:;Количество шампуров:6 шт;Ручка:Прямая";;16CateaN4otGMcEzRkjH;698150936462;800;810;85;40;;;;;
947368514462;;SH-0109;;;"Набор Шампуров №11 (для Тандыра с крючками) - 7 шт - Прямая";;;;7000.00;;;"Ширина лезвия:;Количество шампуров:7 шт;Ручка:Прямая";;aCSulza1t1DaOKzrl6AK;698150936462;950;810;85;40;;;;;
723209102762;;SH-0110;;;"Набор Шампуров №11 (для Тандыра с крючками) - 8 шт - Прямая";;;;8000.00;;;"Ширина лезвия:;Количество шампуров:8 шт;Ручка:Прямая";;N08Ov0PhBgEEOlPeGpVF;698150936462;1100;810;85;40;;;;;
923869714192;;SH-0111;;;"Набор Шампуров №11 (для Тандыра с крючками) - 9 шт - Прямая";;;;9000.00;;;"Ширина лезвия:;Количество шампуров:9 шт;Ручка:Прямая";;Braf24YLFSfym3UkIJ6L;698150936462;1250;810;85;40;;;;;
609465951962;;SH-0112;;;"Набор Шампуров №11 (для Тандыра с крючками) - 10 шт - Прямая";;;;10000.00;;;"Ширина лезвия:;Количество шампуров:10 шт;Ручка:Прямая";;BnMhDIjEpIGvPOA83IA4;698150936462;1400;810;85;40;;;;;
427451652322;;SH-0113;;;"Набор Шампуров №11 (для Тандыра с крючками) - 11 шт - Прямая";;;;11000.00;;;"Ширина лезвия:;Количество шампуров:11 шт;Ручка:Прямая";;zZ2Kx5PVuhhnBIuZ8MK5;698150936462;1550;810;85;40;;;;;
677240499372;;SH-0114;;;"Набор Шампуров №11 (для Тандыра с крючками) - 6 шт - Загнутая";;;;6600.00;;;"Ширина лезвия:;Количество шампуров:6 шт;Ручка:Загнутая";;83vBRr4XudjOdTHdyjuc;698150936462;800;810;85;40;;;;;
